epoch,accuracy,loss,val_accuracy,val_loss
0,0.49670005,0.6931824406145352,0.5,0.6931473312530887
1,0.49923876,0.6931721442350948,0.5,0.6931663751275652
2,0.499155,0.6931680240479738,0.5,0.693182081080258
3,0.4986526,0.6931608984364466,0.5,0.693153828881344
4,0.49897996,0.6931683253439743,0.5,0.6931471527076274
5,0.50014466,0.6931637385404864,0.5,0.6931480169659066
6,0.49921593,0.6931625148854648,0.5,0.6931481066649289
7,0.49980968,0.6931620638266972,0.5,0.6931505499039066
8,0.5000076,0.693161231092662,0.5,0.6931708751821033
9,0.49964982,0.693160127102478,0.5,0.6931779981312527
10,0.5011038,0.6931613690347751,0.5,0.6931497756058667
11,0.4983405,0.6931651895339255,0.5,0.6931642589722049
12,0.498272,0.6931634129461725,0.5,0.6931474208831787
13,0.49946713,0.6931566294711594,0.5,0.6931698619865865
14,0.49885052,0.6931635698969788,0.5,0.693148195808865
